"","Spp_ID","Binomial","No.Records","No.Localities","Body_mass.g.n","Body_mass.g.mean","Body_mass.g.sd","Body_mass.g.median","Body_mass.g.min","Body_mass.g.max","Body_mass.g.se","Body_length.mm.n","Body_length.mm.mean","Body_length.mm.sd","Body_length.mm.median","Body_length.mm.min","Body_length.mm.max","Body_length.mm.se","Wing_length.mm.n","Wing_length.mm.mean","Wing_length.mm.sd","Wing_length.mm.median","Wing_length.mm.min","Wing_length.mm.max","Wing_length.mm.se","Tail_length.mm.n","Tail_length.mm.mean","Tail_length.mm.sd","Tail_length.mm.median","Tail_length.mm.min","Tail_length.mm.max","Tail_length.mm.se","Tarsus_length.mm.n","Tarsus_length.mm.mean","Tarsus_length.mm.sd","Tarsus_length.mm.median","Tarsus_length.mm.min","Tarsus_length.mm.max","Tarsus_length.mm.se","Bill_length.mm.n","Bill_length.mm.mean","Bill_length.mm.sd","Bill_length.mm.median","Bill_length.mm.min","Bill_length.mm.max","Bill_length.mm.se","Bill_depth.mm.n","Bill_depth.mm.mean","Bill_depth.mm.sd","Bill_depth.mm.median","Bill_depth.mm.min","Bill_depth.mm.max","Bill_depth.mm.se","Bill_width.mm.n","Bill_width.mm.mean","Bill_width.mm.sd","Bill_width.mm.median","Bill_width.mm.min","Bill_width.mm.max","Bill_width.mm.se"
"156",156,"Cyanerpes cyaneus",80,25,59,13.36,1.03,13,11,16,0.13,56,218.61,119.53,128,100.09,390,15.97,25,61.6,4.17,62,48.7,69,0.83,71,37.48,2.31,37,31,43,0.27,24,15.1,1.71,14.75,11.8,19,0.35,52,16.22,2.64,16.4,7.8,23,0.37,47,3.97,1.1,3.8,3.2,10.9,0.16,47,5.62,1.22,5.4,3.3,9.2,0.18
"157",157,"Euphonia chlorotica",80,24,70,11.04,1.81,11,8,16,0.22,27,111.22,32.85,106,93,272,6.32,8,56.93,2.49,57,53.5,60,0.88,28,35.33,6.11,34.05,28,62,1.15,9,14.06,1.48,14.32,10.7,15.7,0.49,22,7.82,0.98,7.75,6.1,10.1,0.21,13,4.25,0.49,4.2,3.1,5.08,0.14,13,5.68,0.86,5.7,4.5,7.12,0.24
"158",158,"Lochmias nematura",80,42,77,23.3,3.52,23,14.5,45,0.4,48,141.04,18.48,140,105,240,2.67,33,66.05,3.19,66,60,73,0.56,52,47.96,7.15,46.23,30,67,0.99,41,23.74,1.79,24,17.3,26.9,0.28,48,16.76,2.47,16.58,11.1,22.6,0.36,34,4.24,0.69,4.2,3.3,7.67,0.12,34,5.19,1.66,5.1,3.2,11.2,0.28
"159",159,"Ilicura militaris",79,47,71,13.17,2.12,13,7,20,0.25,48,118.4,13.16,116.5,85,145,1.9,16,58.44,7.69,59.5,41.5,80,1.92,27,52.98,68.89,40,20,395,13.26,21,19.18,3.13,18.7,16.4,32.1,0.68,27,7.19,1.76,7,4.7,12,0.34,16,3.51,0.46,3.4,3,4.7,0.12,21,6.66,2.22,6.7,3.5,13.1,0.49
"160",160,"Nystalus maculatus",79,13,73,41.2,5.16,40,32,55,0.6,18,202.33,10.99,203,173,221,2.59,6,78.92,3.64,78.5,75,83,1.49,11,70.83,4.5,71,65,80,1.36,5,19.98,1.73,20.8,17.2,21.6,0.77,9,36.21,2.43,35.4,33.11,39.8,0.81,8,12.49,0.99,12.37,11.27,13.88,0.35,8,16.34,1.95,16.32,13.95,19.6,0.69
"161",161,"Polystictus superciliaris",79,43,78,6.24,0.59,6.2,4.9,8,0.07,78,104.13,9.01,105,59,116,1.02,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"162",162,"Heliobletus contaminatus",78,31,72,15.07,4.25,14,11,43.5,0.5,30,133.8,10.44,133,115,160,1.91,8,73,6.12,71.5,67,83,2.16,41,60.43,7.11,59.6,49.3,75,1.11,18,19.15,1.58,18.7,17,22.5,0.37,26,12.25,1.63,12.3,9.6,14.6,0.32,17,4.31,0.57,4.1,3.6,5.5,0.14,17,5.92,1.39,6.1,3.35,8.3,0.34
"163",163,"Serpophaga subcristata",77,21,59,7.41,7.16,6,4.6,60,0.93,13,108.54,10.47,109,95,130,2.9,28,50.82,13.01,48,42,114,2.46,64,48.14,5.77,47.8,39,86,0.72,53,17,2.13,17,12.2,27.9,0.29,43,9.7,2.28,10,6.6,22.1,0.35,14,2.47,0.43,2.31,2.18,3.7,0.12,14,3.53,0.6,3.29,2.98,5.1,0.16
"164",164,"Rupornis magnirostris",76,51,66,251.45,66.42,250,90,420,8.18,60,371.93,60.93,360,260,597,7.87,43,227.72,25.06,231,163,290,3.82,60,158.85,20.01,160,107,197,2.58,43,65.67,11.03,67.75,6.63,78.5,1.68,36,23.14,4.41,25.05,14.1,28.9,0.73,48,16.71,3.97,16.23,10.9,29.81,0.57,49,18.03,6.26,18.3,9.6,42.9,0.89
"165",165,"Synallaxis cinerascens",76,31,71,13.3,1.3,13,11,18.5,0.15,27,148,7.54,149,130,157,1.45,21,54.14,2.33,54,49,57,0.51,35,64.29,6.99,65,50,76,1.18,22,19.82,1.19,19.65,17.3,22.6,0.25,32,10.94,1.15,11,7.3,13.5,0.2,8,3.72,0.53,3.55,3.2,4.9,0.19,8,4.39,1.79,3.64,2.3,7.4,0.63
"166",166,"Xiphocolaptes albicollis",76,40,62,103.78,20.26,110,55,139,2.57,44,302.27,24.3,308,243,360,3.66,9,130.36,5.2,130,122,139,1.73,52,115.65,7.94,117,103,129.1,1.1,15,33.55,4.7,33,27,48,1.21,48,43.76,7.24,45.2,20.56,56.6,1.05,19,10.3,1.81,10.5,7.75,14.3,0.41,20,12.37,2.42,12.25,8.4,16.7,0.54
"167",167,"Anabazenops fuscus",75,20,63,33.67,4.82,35,22.5,44,0.61,17,194.35,12.8,195,175,224,3.1,8,88.12,7.08,85,80,97,2.5,30,80.23,6.36,79,67,92,1.16,12,24.05,2.45,24,18.5,27.6,0.71,42,21,8.44,20.15,11,71.7,1.3,20,8.02,0.75,8,6.7,9.7,0.17,20,8.97,2.17,8.3,6,13.6,0.48
"168",168,"Knipolegus cyanirostris",75,25,73,16.12,1.37,16,12,20.1,0.16,9,146.44,11.28,144,129,165,3.76,11,78.36,3.85,79,71,84,1.16,50,69.72,5.04,70.25,59,79.5,0.71,26,18.86,2.11,19.45,11.7,21,0.41,19,13.95,1.74,14.7,11,17.1,0.4,10,4.39,0.44,4.16,3.94,5,0.14,10,6.33,1.43,5.86,5.14,9.9,0.45
"169",169,"Nyctidromus albicollis",74,32,69,65.48,16.9,65,15.1,160,2.03,36,274.07,21.89,279.5,234,307,3.65,18,160.06,24.38,157.5,115.5,245,5.75,29,149.51,18.04,153,105,175,3.35,19,25.98,3.69,26,18.3,32.6,0.85,31,12.71,4.63,12.1,4.6,30,0.83,22,4,0.95,4,2.3,6.5,0.2,22,23.73,7.43,25.7,4.9,33,1.58
"170",170,"Tangara palmarum",74,26,69,37.52,4.43,38,19,48,0.53,43,187.26,26.99,184,145,337,4.12,25,93.22,13.94,96.5,45,110,2.79,41,75.92,8.02,74,62,105,1.25,20,22.14,2.66,22,16,29.2,0.59,36,14.93,1.52,14.65,12.2,19.8,0.25,34,7.33,1.05,7.05,6.1,10.34,0.18,34,9.62,1.99,9.83,5.1,13.6,0.34
"171",171,"Mionectes oleagineus",73,32,69,11.75,1.28,12,7,14,0.15,58,119.68,6.93,118.5,102,137,0.91,22,56.6,7.08,58,45,68,1.51,69,49.82,6.08,48.24,38,70,0.73,12,16.12,1.58,16.25,13,18.3,0.46,68,11.76,1.32,11.65,9.6,16,0.16,44,3.98,0.53,3.93,3,6.4,0.08,44,7.26,1.6,7.8,3.9,9.64,0.24
"172",172,"Augastes scutatus",72,38,69,3.48,0.36,3.5,2.5,4.5,0.04,72,96.47,5.65,96,85,115,0.67,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"173",173,"Piaya cayana",71,36,63,104.52,20.43,104,19,140,2.57,37,485.15,86.43,498,105,593,14.21,22,173.36,51.93,160,149,360,11.07,33,295.74,57.26,320,150,375,9.97,18,43.5,5.27,43.1,36.6,57.49,1.24,18,28.05,2.96,27.62,23.8,32.5,0.7,18,11.52,2.46,11,8.8,20,0.58,19,16.83,3.32,17.52,9.1,21,0.76
"174",174,"Colibri serrirostris",70,20,64,6.58,0.94,6.62,4,9,0.12,18,119.11,9.57,120,103,135,2.26,4,66.8,3.48,67.75,62.2,69.5,1.74,54,45.82,3.41,45.34,39.5,54.21,0.46,0,NA,NA,NA,Inf,-Inf,NA,51,20.09,2.07,20,16.53,28.2,0.29,49,2.31,0.2,2.26,1.89,2.9,0.03,49,3.13,0.48,3.09,2.44,4.7,0.07
"175",175,"Elaenia spectabilis",70,9,70,22.17,3.29,22,15,31,0.39,6,177.67,8.33,178.5,165,190,3.4,5,87.53,3.99,88.2,81,90.84,1.79,7,84.64,6.18,84.4,74,93.5,2.34,7,20.93,1.25,20.5,19.7,22.83,0.47,6,14.91,0.96,14.8,13.4,16.3,0.39,1,5,NA,5,5,5,NA,1,12,NA,12,12,12,NA
"176",176,"Herpsilochmus atricapillus",70,24,65,9.66,1.28,9,8,14,0.16,55,145.16,54.3,129,113,318,7.32,29,50.2,1.69,50,47,53.6,0.31,40,52.79,4.71,52.25,42.9,62.6,0.74,28,25.12,32.77,18.6,16.1,192,6.19,38,13.99,1.22,13.95,11.1,17,0.2,34,4.37,0.28,4.4,3.8,4.9,0.05,34,7.25,1.03,7.6,4.26,8.3,0.18
"177",177,"Machaeropterus regulus",70,18,67,10.18,1.4,10,5,17,0.17,43,90.4,9.21,90,75,130,1.4,25,52.76,2.09,53,47,57,0.42,64,28.24,12.46,23,18.5,57,1.56,10,15.46,2.01,15.35,12,19.6,0.64,63,9.56,2.07,8.8,7.3,17,0.26,29,3.55,0.59,3.3,2.9,5.61,0.11,29,6.06,1.44,5.95,4.14,9.18,0.27
"178",178,"Pyriglena pernambucensis",70,9,65,31.58,3.78,32,21,40,0.47,46,170.57,12.49,169,140,195,1.84,41,74.04,3.52,74.5,62,84,0.55,64,70.6,5.16,71.05,53,81.57,0.64,30,29.26,2.79,29.95,19,32.86,0.51,67,19.06,2.02,19.76,12.2,22.5,0.25,51,6.43,1.43,6.2,4.1,13.8,0.2,51,9.16,1.69,9.4,5,12.4,0.24
"179",179,"Selenidera maculirostris",70,19,64,163.13,18.47,162.75,115,214,2.31,54,330.37,20.35,332.5,273,365,2.77,12,127.09,9.45,130,100,136,2.73,61,109.04,10.38,109.5,65,138,1.33,13,34.28,6.07,34.2,25,46,1.68,54,51.39,4.71,51.05,37.3,60.05,0.64,26,21.99,1.51,22.25,17.1,24.28,0.3,26,23.68,2.19,23.4,20,29.7,0.43
"180",180,"Columbina minuta",68,24,37,32.06,4.68,32,21.5,44.5,0.77,29,144.48,6.6,145,131,155,1.23,21,73.87,3.98,74.3,63.1,80.1,0.87,30,53.98,3.91,53.75,47.2,63,0.71,21,14.49,1.8,14.1,11.3,17.8,0.39,10,10.77,0.66,10.65,9.7,12.2,0.21,3,3.43,1.42,4.2,1.8,4.3,0.82,3,3.93,0.4,4,3.5,4.3,0.23
"181",181,"Conopophaga cearae",68,7,62,23.15,3.27,23,12,34,0.42,56,124.66,8.28,125,109,144,1.11,61,68.86,2.28,69,65,76,0.29,56,41.3,3.59,41,30,54,0.48,51,27.09,2.19,27.5,16.6,30,0.31,63,15.21,1.94,15,11.4,22,0.24,63,4.79,0.55,4.7,3.5,6.9,0.07,67,9.33,2.57,9.1,4,20,0.31
"182",182,"Tangara cyanocephala",68,17,54,15.97,1.93,16,13,20.45,0.26,57,128.34,12.19,129.29,102.01,148,1.62,16,65.5,2.13,65,61.1,69,0.53,64,47.24,5.29,48.95,30,59,0.66,18,19.33,1.9,19,15.15,23.1,0.45,60,10.11,1.08,10.46,7.17,12,0.14,30,5.05,0.51,5.06,3.16,6.1,0.09,29,7.09,1.12,7.4,4.45,9.06,0.21
"183",183,"Galbula ruficauda",66,35,62,25.07,15.09,23,19,140,1.92,50,244.19,80.7,232.5,210,798,11.41,38,80.39,4.06,80,75.8,100,0.66,49,91.93,5.91,92,74.7,104,0.84,27,13.67,1.87,13.1,10.8,19.4,0.36,44,53.36,8.68,53.36,5.46,63.6,1.31,38,7.17,0.58,7.1,5.63,8.4,0.09,40,10.28,2.63,10.89,5.03,14.7,0.42
"184",184,"Satrapa icterophrys",66,21,61,20.52,2.02,20.7,14,27,0.26,11,162.82,8.66,163,147,175,2.61,22,84.88,5.31,85.5,66,93,1.13,59,79.07,9.11,82,65,93,1.19,49,19.53,0.81,19.65,17.5,22.34,0.12,40,15.04,2.26,15.72,11,19.75,0.36,20,4.1,0.24,4.12,3.47,4.47,0.05,20,5.04,0.57,4.97,4.08,6.46,0.13
"185",185,"Veniliornis spilogaster",66,43,61,38.23,6.48,37.4,28,70,0.83,41,174.8,16.74,175,121,230,2.61,15,95.4,15.76,96,50,130,4.07,55,63.93,14.92,60,45,107,2.01,29,17.71,2.83,17.6,9.3,22.3,0.53,45,21.52,1.82,21.5,17.7,25.9,0.27,20,6.89,1.4,6.5,5.68,12,0.31,21,10.6,4.37,9.9,6.91,24.6,0.95
"186",186,"Heliodoxa rubricauda",65,23,55,7.41,1.07,7,5,10,0.14,22,117.95,10.01,119.5,103,135,2.13,4,65.6,3.72,65.7,61,70,1.86,30,44.63,12.06,40.5,31,75.3,2.2,2,36.4,41.86,36.4,6.8,66,29.6,31,18.9,3.33,18.5,6.7,27.1,0.6,23,2.63,0.3,2.6,2,3.2,0.06,23,4.45,0.91,4.5,3,6,0.19
"187",187,"Hemitriccus obsoletus",65,19,64,10.72,1.82,10.5,7,19,0.23,9,114.33,9.6,113,95,128,3.2,7,55.8,3.26,56,50,59,1.23,35,51.4,4.69,52,40,58,0.79,22,20.86,1.04,21,19.1,22.8,0.22,12,9.77,1.57,9.75,7.2,13.6,0.45,13,3.62,0.33,3.5,3,4.1,0.09,13,6.65,1.74,5.9,3.8,10.4,0.48
"188",188,"Hylocharis chrysura",65,19,40,4.8,0.63,5,3.8,5.9,0.1,6,90.67,8.52,87,85,107,3.48,29,55.42,2.6,55,50.3,65,0.48,60,41.12,12.21,33,25,59.5,1.58,2,7.27,0.33,7.27,7.04,7.5,0.23,60,21.91,1.98,22.2,12.5,25.8,0.26,9,2.29,0.27,2.29,1.86,2.71,0.09,9,3.64,0.87,3.35,2.8,4.94,0.29
"189",189,"Schiffornis turdina",65,23,63,39.45,6.77,39,20,70,0.85,40,177.31,17.38,180,98,207,2.75,32,86.69,10.74,92.16,68,99.6,1.9,59,76.62,11.45,72.98,56.9,106,1.49,31,22.9,2.55,23.4,14,28.1,0.46,63,16.36,2.43,16.1,12.3,24,0.31,44,6.48,0.96,6.34,5.23,11,0.14,44,11.28,2.88,11.65,5.2,15.5,0.43
"190",190,"Amazilia lactea",63,32,56,4.95,5.29,4,2.5,42.8,0.71,31,95.32,6.39,96,80,104,1.15,1,48.1,NA,48.1,48.1,48.1,NA,17,29.56,2.28,30,25,33.04,0.55,0,NA,NA,NA,Inf,-Inf,NA,18,18.36,2.09,17.6,15.4,23.5,0.49,1,2.25,NA,2.25,2.25,2.25,NA,1,2.98,NA,2.98,2.98,2.98,NA
"191",191,"Gallinula galeata",63,19,61,383.02,70.05,383,200,530,8.97,55,164.59,145.48,62.5,59,480,19.62,45,180.31,7.91,180,160,195,1.18,43,74.79,6.28,75,62,90,0.96,46,56.37,3.44,56,47.8,68,0.51,43,40.97,3.69,41,27.22,52,0.56,5,11.67,2.04,10.9,9.26,14,0.91,5,9.96,0.75,9.8,9.2,11.2,0.34
"192",192,"Thlypopsis sordida",62,32,55,55.43,216.19,14,9.5,1240,29.15,29,172.43,143.61,128,112.57,680,26.67,18,98.71,106.08,63.3,53,390,25,35,66.22,36.04,56.61,45,210,6.09,18,27.41,24.16,20.15,15,95,5.69,36,11.87,1.35,11.75,9.6,15.1,0.22,29,5.86,3.98,4.7,4.32,21.5,0.74,29,8.16,3.42,7.4,4.9,23.3,0.63
"193",193,"Coccyzus melacoryphus",61,18,58,48.12,6.36,47.7,34.8,70,0.84,14,289.94,61.31,273.5,243,493.2,16.39,8,114.62,3.7,115.5,107,120,1.31,23,134.57,9.67,133,116,155,2.02,11,27.24,2.35,27.1,22,31,0.71,18,24.52,2.01,24.37,20.8,28.6,0.47,9,8.39,1.19,8.3,7,10.4,0.4,10,12.09,3.43,13.62,6.08,15.14,1.09
"194",194,"Columbina picui",61,33,57,41.72,8.87,43,21,62,1.17,35,171.14,19.44,173,117,195,3.29,41,89.44,4.41,89,76.6,103,0.69,47,70.44,7.45,71,52,87,1.09,41,16.88,1.78,16.95,12.2,20.5,0.28,38,12.33,1.39,12.3,9.8,15.3,0.23,24,4.1,0.88,3.81,3.17,7.29,0.18,28,4.28,0.98,3.94,2.91,6.3,0.19
"195",195,"Hemitriccus orbitatus",61,18,56,9.58,1.38,10,6,15,0.18,45,121.61,10.65,122,107,165,1.59,11,52.09,2.77,52,48,57,0.84,54,47.66,4.83,48.1,28,65,0.66,11,19.14,1.17,18.72,17.7,21,0.35,42,12.28,1.26,12.1,8.5,16,0.19,16,3.32,1.08,2.92,2.69,7.2,0.27,15,4.91,1.31,4.41,3.85,8.4,0.34
"196",196,"Chlorestes notata",60,22,38,3.81,2.4,3.5,2.5,18,0.39,10,95.8,22.08,90.5,80,157,6.98,40,48.13,4.18,48,41.9,70.5,0.66,41,31.21,7.04,30,20.9,70,1.1,1,19.1,NA,19.1,19.1,19.1,NA,26,17.14,1.38,17.05,14.4,20.1,0.27,9,2.95,2.07,2.25,1.9,8.4,0.69,9,4.11,2.28,4.1,2,9.6,0.76
"197",197,"Pipraeidea melanonota",60,33,52,19.97,2.69,19.15,15,30,0.37,21,145.21,8.76,147,132,162,1.91,19,80.35,3.84,80,75,90,0.88,48,60.9,10.82,56,47,86.5,1.56,25,18.66,1.59,18.4,16,22.95,0.32,29,10.16,2.43,9.9,5,18.2,0.45,17,5.45,0.48,5.4,4.7,6.8,0.12,18,6.57,1.24,6.6,4.56,8.9,0.29
"198",198,"Chloroceryle americana",59,34,53,46.96,40.56,33,23.5,225,5.57,39,216.85,41.13,202,137,341,6.59,26,93.31,23.41,82,72.15,144,4.59,48,67.19,11.58,63.5,53,99,1.67,31,12.18,3.7,11.2,8.6,23.6,0.67,44,44.3,10.26,41.75,32.1,77,1.55,28,11.18,3.82,9.55,7.15,20.4,0.72,28,14.08,4.69,13.35,7.4,23.5,0.89
"199",199,"Fulica leucoptera",59,1,59,482.71,72.77,480,330,640,9.47,51,61.71,1.94,62,59,66,0.27,58,184.5,9.64,185,165,203,1.27,56,53.46,6.42,52,28,70,0.86,59,55.09,3.24,55,48.7,68,0.42,59,39.13,3.82,38.5,32,47,0.5,0,NA,NA,NA,Inf,-Inf,NA,0,NA,NA,NA,Inf,-Inf,NA
"200",200,"Megascops choliba",58,44,55,135.96,38.93,129.75,66,290,5.25,42,223.38,34.97,231,125,280,5.4,31,181.29,18.89,188,118,204,3.39,35,100.74,18.01,104,38,149,3.04,31,37.21,6.76,38,13.8,50.7,1.21,9,19.53,4.01,21.2,13.49,25,1.34,30,14.39,3.24,13.6,9,21.85,0.59,33,17.1,4.93,17.5,6.2,27.06,0.86
"201",201,"Ortalis squamata",58,29,57,432.26,70.63,444,226,550,9.36,51,504.35,35.65,498,448,600,4.99,58,191.74,12.22,190,170,250,1.6,58,224.67,13.89,226,193,260,1.82,58,62.73,7.13,62.5,32.7,83,0.94,1,27.98,NA,27.98,27.98,27.98,NA,56,12.87,2.57,12.15,9,20.3,0.34,56,17.42,4.16,17.3,10.2,35.5,0.56
"202",202,"Hemitriccus griseipectus",57,17,55,9.53,3.75,9,6,30,0.51,36,104.91,9.13,106.62,84.1,123,1.52,24,48.87,4.09,50,41.25,60,0.83,48,43.3,5.09,44.13,30,53.91,0.73,25,14.23,1.96,14.9,9.9,17.2,0.39,38,11.64,1.78,11.76,5.8,14.8,0.29,37,3.71,0.55,3.67,2.7,5.8,0.09,37,7.41,1.35,7.41,4.92,10.2,0.22
"203",203,"Phaethornis squalidus",57,26,46,3.15,0.52,3,2,5,0.08,33,119.82,10.77,121,75,135,1.87,6,49.55,3.52,48.15,47,56,1.44,26,49.04,7.17,50.5,21,57,1.41,0,NA,NA,NA,Inf,-Inf,NA,27,23.48,1.75,23.7,20,27.5,0.34,5,2.62,0.79,2.3,2,4,0.35,6,4.35,0.84,4.1,3.4,5.8,0.34
"204",204,"Caryothraustes canadensis",56,22,8,41.94,5.53,43.5,29.5,47,1.96,8,189.63,12.86,196.5,166.05,200,4.55,47,95.45,3.36,95,86,103,0.49,52,70.63,5.18,68,62,83,0.72,47,22,1.29,21.95,19.4,25.3,0.19,53,17.04,1.2,16.8,15,21.9,0.17,7,12.61,0.46,12.48,12.08,13.4,0.17,52,12.83,0.62,12.82,11.55,14.05,0.09
"205",205,"Formicarius colma",56,29,41,48.41,5.36,48,33.5,70,0.84,32,179.11,13.22,180,155,205,2.34,13,83.78,9.15,87,55,90,2.54,44,54.29,6.56,55,29,76.2,0.99,21,30.9,2.34,30.8,26.3,35,0.51,40,18.01,6.69,17.2,6.2,55,1.06,12,6.04,1.12,5.65,4.97,9,0.32,12,8.86,1.74,9.2,6,11.53,0.5
"206",206,"Formicivora rufa",55,30,20,12.29,1.08,12.25,10.5,15,0.24,16,130.06,10.87,130,111,148,2.72,31,48.75,2.6,48.7,42.4,53.3,0.47,39,54.65,5.01,55.2,43,63.4,0.8,30,22.05,1.68,21.85,18.5,25.9,0.31,15,13.49,0.65,13.6,12.6,14.5,0.17,7,3.91,0.2,3.9,3.7,4.2,0.07,7,4.16,0.44,4,3.7,4.9,0.17
"207",207,"Trogon rufus",55,29,54,61.05,7.86,60,45,93,1.07,20,273.25,18.59,271.5,238,310,4.16,8,122.47,8.31,124.5,109.8,133,2.94,35,145.4,17.14,148,117,179,2.9,13,14.45,2.14,14.2,10.8,18,0.59,36,18.53,19.3,15,11.9,130,3.22,15,9.19,0.56,9,8.4,10,0.14,15,17.9,1.94,18.7,12.5,20.3,0.5
"208",208,"Chamaeza campanisona",54,26,46,93.59,8.39,93.5,68,115,1.24,25,206.88,15.23,206,177,250,3.05,9,104.56,6.78,102,99,120,2.26,32,67.19,7.85,65,57,100,1.39,11,41.17,2.41,41.3,37,46.3,0.73,35,17,2.79,17.3,8.8,23.1,0.47,28,7.25,0.87,6.95,6.2,10.6,0.16,29,9.22,2.32,9.1,6.5,13,0.43
"209",209,"Phaethornis ruber",52,32,44,2.8,1.78,2,1.8,9.5,0.27,30,100.31,69.1,88,73.54,465,12.62,5,35.9,1.24,35.5,35,38,0.56,39,31.88,3.42,32,26.4,41,0.55,0,NA,NA,NA,Inf,-Inf,NA,36,22.41,2.78,21.9,19.1,35.4,0.46,22,2.25,0.5,2.05,1.6,3.6,0.11,22,3.56,1.81,3.1,2.2,11.1,0.39
"210",210,"Pygochelidon cyanoleuca",52,26,51,10.82,3.85,10.5,3.5,34.5,0.54,32,112.12,18.96,115,61,164,3.35,15,89.73,18.39,92,50,123,4.75,28,70.85,25.65,77,31,103,4.85,28,11.82,2.91,10.8,9.28,21.5,0.55,19,7.35,0.97,7.5,4.5,8.8,0.22,10,3.46,1.98,2.83,2,8.7,0.63,10,9.26,2.52,8.59,6,14,0.8
"211",211,"Carpornis cucullata",51,22,49,80.45,59.56,70,48,480,8.51,21,229.57,19,227,197,280,4.15,14,121.29,25.96,115.5,102,210,6.94,30,102.29,10.49,100.5,80.3,120,1.92,22,28.41,14.28,24.8,20.1,86,3.04,21,14.26,1.68,14.5,9,17.4,0.37,26,7.84,1.8,7.3,6,14,0.35,26,12.95,2.81,12.3,7.7,19,0.55
"212",212,"Dendroplex picus",51,22,46,33.93,4.65,35,13,41,0.69,29,232.28,103.56,207,103,550,19.23,28,95.94,3.44,96.5,89,101.2,0.65,33,80.99,6.98,79.78,70,100,1.21,25,21.07,2.98,21.1,16.75,33.3,0.6,36,26.84,2.95,26.52,19.4,34.9,0.49,35,7.09,1.12,6.9,5.1,12.3,0.19,35,9.85,1.71,10.1,5.7,12.7,0.29
"213",213,"Mimus gilvus",51,25,27,55.01,4.82,55,46,67,0.93,11,239.77,10.74,240,226,255,3.24,22,107.95,4.7,110.1,98.3,115,1,31,121.63,10.35,122,99,142.1,1.86,22,34.22,1.4,34.4,31.7,36.6,0.3,11,20.85,3.13,20.4,16.9,28.8,0.94,6,6.56,1.91,6.39,4.1,10,0.78,6,7.83,2.37,6.95,5.3,10.86,0.97
"214",214,"Myiozetetes similis",51,30,47,26.69,4.43,27,11.5,35,0.65,29,170.16,9.28,170,155,190,1.72,19,87.22,10.7,90,50,97,2.45,38,71.1,11.18,72,20,90,1.81,19,21.47,3.38,21.8,16.7,32.2,0.78,26,14.53,1.56,14.6,11.6,17.1,0.31,27,5.53,1.38,5.16,2.6,9.8,0.27,29,8.75,2.71,9.04,5.2,14.3,0.5
"215",215,"Sporophila nigricollis",51,24,42,10.21,0.93,10,7.5,12.47,0.14,43,115.02,7.91,115,93.51,132,1.21,6,53.95,6.51,54.25,43,61.2,2.66,17,45.78,3.94,45.21,40.97,55,0.96,5,15.2,0.8,14.8,14.5,16.5,0.36,16,9.09,1.43,9,7.4,12,0.36,12,6.47,0.24,6.48,6.19,7.13,0.07,11,6.69,0.69,6.74,5.53,7.7,0.21
"216",216,"Thamnophilus doliatus",51,27,49,29.47,7.57,29,15.5,64,1.08,35,170.31,24.53,165,150,295,4.15,16,73.09,3.67,73.45,65,78,0.92,22,65.56,6.36,65.5,54.2,80,1.36,16,28.64,2.72,28.8,22,32.3,0.68,19,19.15,2.24,19.8,15.7,23,0.51,23,6.69,0.62,6.57,5.83,7.7,0.13,22,8.06,2.71,8.55,5,12.71,0.58
"217",217,"Colaptes melanochloros",50,27,46,108.54,18.49,109,69,161,2.73,27,273.7,32.84,272,190,333,6.32,8,128.75,20.83,137,85,145,7.36,28,111.4,25.87,110,50,154,4.89,15,26.61,4.41,27.8,13.7,33,1.14,24,28.68,3.27,28.65,22,35.5,0.67,11,9.14,1.23,9.2,7.4,11.5,0.37,10,11.95,1.8,11.1,10.1,15.5,0.57
"218",218,"Ramphastos dicolorus",50,34,47,350.84,67.03,366,35.6,514,9.78,39,487.44,57.73,494,380,700,9.24,43,196,12.5,195,155,250,1.91,44,186.32,21.93,191.5,70,206,3.31,44,52.1,5.67,52.25,39,65.5,0.85,6,90.28,15.6,91.1,72.3,111.7,6.37,46,37.58,4.94,38.25,11,43.45,0.73,49,31.44,2.12,31.4,25,36.5,0.3
"219",219,"Tyto furcata",50,35,50,339.94,61.22,351,200,442,8.66,48,351.15,25.31,349.5,302,410,3.65,48,301.96,18.12,305.5,235,333,2.61,48,134.84,8.16,135,115,150,1.18,48,76.08,8.32,78,58.8,101.09,1.2,1,33.3,NA,33.3,33.3,33.3,NA,47,15.69,3.63,15.3,1.6,26.9,0.53,47,22.91,6.84,23.2,11.5,46.5,1
"220",220,"Tachycineta leucorrhoa",49,4,49,21.26,2.09,21.2,15.2,28,0.3,0,NA,NA,NA,Inf,-Inf,NA,1,120,NA,120,120,120,NA,48,67.49,27.08,54.64,43.91,121.5,3.91,12,12.34,1.67,11.77,11,17.2,0.48,48,6.88,2.29,5.83,4.88,11.5,0.33,36,3.21,0.29,3.19,2.7,3.99,0.05,36,5.46,0.28,5.5,4.81,6,0.05
